product_id,product_name,category,material,brand,price_usd,color,country_of_origin,rating,reviews_count,in_stock,merchant_source,sustainability_label
P000001,Plastic Pencil Case,Office & Stationery,Pvc Plastic,Zipit,8.19,Red,Brazil,3.7,28917,False,Brand Store Z,None
P000002,Microfiber Cleaning Cloth,Cleaning,"80% Polyester, 20% Polyamide",E-Cloth,12.97,Pink,Germany,4.8,20296,True,Retailer X,None
P000003,Teflon Non-Stick Pan,Kitchen & Dining,"Aluminum, Ptfe Coating",T-Fal,26.98,Unknown,Unknown,3.1,1108,True,Greenshop,None
P000004,Silicone Shampoo Bottle,Personal Care,Silicone,Silikids,13.15,Orange,Japan,3.0,32759,True,Ecoretail,None
P000005,Cork Laptop Sleeve,Electronics & Energy,"Natural Cork, Cotton Lining",Corkor,31.81,Unknown,China,3.8,32389,True,Retailer X,None
P000006,Cotton String Mop,Cleaning,"100% Cotton, Wood Handle",Libman,21.61,Natural,Uk,3.3,12512,True,Brand Store Z,None
P000007,Reusable Fabric Face Mask,Healthcare & Wellness,"100% Cotton, Elastic",Adidas,13.02,Red,Australia,4.3,1139,False,Online Shop B,None
P000008,Plastic Ruler,Office & Stationery,Polystyrene Plastic,Staedtler,1.89,Clear,Netherlands,4.9,35488,True,Ecoretail,None
P000009,Plastic Mechanical Pencil,Office & Stationery,"Abs Plastic, Metal Tip",Pentel,4.45,Red,Australia,3.8,13638,True,Whole Foods,None
P000010,Plastic Honey Bottle,Food & Beverage,Hdpe Plastic,Sue Bee,6.89,Yellow,Usa,3.1,7828,True,Walmart,None
P000011,Electric Toothbrush Head,Personal Care,"Plastic, Nylon",Philips,8.64,Yellow,Japan,3.8,27969,False,Brand Store Z,None
P000012,Disposable Highlighter,Office & Stationery,"Plastic, Solvent-Based Ink",Sharpie,1.86,Blue,Italy,3.8,15327,True,Amazon,None
P000013,Virgin Plastic Keyboard,Electronics & Energy,Abs Plastic,Logitech,28.2,Pink,India,4.8,22396,True,Online Shop B,None
P000014,Synthetic Dress Shirt,Fashion & Clothing,"65% Polyester, 35% Cotton",Van Heusen,30.37,Green,France,4.6,10134,True,Target,None
P000015,Plastic Olive Oil Bottle,Food & Beverage,Pet Plastic,Generic,8.29,Clear,India,4.7,25418,True,Marketplace Y,None
P000016,Chemical Drain Cleaner,Cleaning,"Sodium Hydroxide, Sodium Hypochlorite",Drano,5.46,Yellow,Germany,3.0,4795,True,Brand Store Z,None
P000017,Plastic Juice Bottle,Food & Beverage,Pet Plastic,Tropicana,4.26,Orange,China,4.4,10416,True,Greenshop,None
P000018,Conventional Denim Jeans,Fashion & Clothing,"98% Cotton, 2% Elastane",Levi'S,66.54,Blue,India,4.9,24526,False,Online Shop A,None
P000019,Recycled Paper Towel,Kitchen & Dining,100% Recycled Paper,Seventh Generation,5.56,Orange,Uk,3.2,1143,True,Ecoretail,Fsc Certified
P000020,Plastic Dental Floss,Personal Care,"Nylon, Plastic Container",Oral-B,2.51,Unknown,Italy,4.0,27688,True,Brand Store Z,None
P000021,Natural Rubber Gloves,Cleaning,Natural Rubber,Mapa,7.09,Unknown,Netherlands,4.1,26458,True,Target,None
P000022,Bamboo Toilet Brush,Cleaning,"Bamboo Handle, Plant Fiber",Bamboozle,15.65,Beige,Canada,3.2,32925,True,Amazon,Fsc Certified
P000023,Plastic Toilet Brush,Cleaning,"Polypropylene, Nylon",Oxo,10.17,Natural,Uk,3.5,3410,True,Online Shop B,None
P000024,Toothbrush Kids,Personal Care,Abs Plastic,Brush Baby,3.32,Unknown,Netherlands,3.2,6535,True,Online Shop A,None
P000025,Staple-Free Stapler,Office & Stationery,"Abs Plastic, Metal Blade",Kokuyo,10.24,Grey,Canada,3.6,17634,True,Retailer X,None
P000026,Stainless Steel Water Bottle,Kitchen & Dining,18/8 Stainless Steel,Hydro Flask,30.82,Natural,Italy,4.5,44785,True,Walmart,B Corp
P000027,Plastic Bath Sponge,Personal Care,"Polyester, Plastic",Generic,1.9,Natural,India,3.6,28909,True,Retailer X,None
P000028,Gas Lawn Mower,Garden & Outdoors,"Steel, Aluminum, Gasoline Engine",Honda,377.57,White,Netherlands,3.2,44931,True,Walmart,None
P000029,Plastic Cling Wrap,Kitchen & Dining,Pvc Plastic,Glad,4.14,Natural,Netherlands,4.8,46849,False,Retailer X,None
P000030,Chemical Drain Cleaner,Cleaning,"Sodium Hydroxide, Sodium Hypochlorite",Drano,5.71,Black,Canada,4.4,33108,True,Walmart,None
P000031,Bamboo T-Shirt,Fashion & Clothing,"95% Bamboo, 5% Spandex",Cariloha,38.11,Yellow,Sweden,3.7,15541,False,Whole Foods,Oeko-Tex
