product_id,product_name,category,material,brand,price_usd,rating,reviews_count,sustainability_label,is_eco_material,is_toxic_material,is_biodegradable,is_recyclable,is_reusable,is_plastic_free,is_organic,is_recycled_material,eco_score,is_sustainable
P000001,Plastic Pencil Case,Office & Stationery,Pvc Plastic,Zipit,8.19,3.7,28917,,1,1,1,0,0,0,0,0,0,0
P000002,Microfiber Cleaning Cloth,Cleaning,"80% Polyester, 20% Polyamide",E-Cloth,12.97,4.8,20296,,0,1,0,0,0,0,0,0,0,0
P000003,Teflon Non-Stick Pan,Kitchen & Dining,"Aluminum, Ptfe Coating",T-Fal,26.98,3.1,1108,,1,1,0,1,1,0,0,0,10,0
P000004,Silicone Shampoo Bottle,Personal Care,Silicone,Silikids,13.15,3.0,32759,,1,0,0,0,1,0,0,0,20,1
P000005,Cork Laptop Sleeve,Electronics & Energy,"Natural Cork, Cotton Lining",Corkor,31.81,3.8,32389,,1,0,1,0,1,1,1,0,70,1
P000006,Cotton String Mop,Cleaning,"100% Cotton, Wood Handle",Libman,21.61,3.3,12512,,1,0,1,0,1,1,0,0,60,1
P000007,Reusable Fabric Face Mask,Healthcare & Wellness,"100% Cotton, Elastic",Adidas,13.02,4.3,1139,,1,0,1,0,1,1,0,0,60,1
P000008,Plastic Ruler,Office & Stationery,Polystyrene Plastic,Staedtler,1.89,4.9,35488,,1,1,1,0,0,0,0,0,0,0
P000009,Plastic Mechanical Pencil,Office & Stationery,"Abs Plastic, Metal Tip",Pentel,4.45,3.8,13638,,1,1,1,1,0,0,0,0,15,0
P000010,Plastic Honey Bottle,Food & Beverage,Hdpe Plastic,Sue Bee,6.89,3.1,7828,,1,0,1,0,0,0,0,0,25,1
P000011,Electric Toothbrush Head,Personal Care,"Plastic, Nylon",Philips,8.64,3.8,27969,,1,1,1,0,0,0,0,0,0,0
P000012,Disposable Highlighter,Office & Stationery,"Plastic, Solvent-Based Ink",Sharpie,1.86,3.8,15327,,1,0,1,0,0,0,0,0,25,1
P000013,Virgin Plastic Keyboard,Electronics & Energy,Abs Plastic,Logitech,28.2,4.8,22396,,1,1,1,0,0,0,0,0,0,0
P000014,Synthetic Dress Shirt,Fashion & Clothing,"65% Polyester, 35% Cotton",Van Heusen,30.37,4.6,10134,,1,1,1,0,1,1,0,0,30,1
P000015,Plastic Olive Oil Bottle,Food & Beverage,Pet Plastic,Generic,8.29,4.7,25418,,1,0,1,0,0,0,0,0,25,1
P000016,Chemical Drain Cleaner,Cleaning,"Sodium Hydroxide, Sodium Hypochlorite",Drano,5.46,3.0,4795,,0,0,0,0,0,0,0,0,0,0
P000017,Plastic Juice Bottle,Food & Beverage,Pet Plastic,Tropicana,4.26,4.4,10416,,1,0,1,0,0,0,0,0,25,1
P000018,Conventional Denim Jeans,Fashion & Clothing,"98% Cotton, 2% Elastane",Levi'S,66.54,4.9,24526,,1,0,1,0,1,1,0,0,60,1
P000019,Recycled Paper Towel,Kitchen & Dining,100% Recycled Paper,Seventh Generation,5.56,3.2,1143,Fsc Certified,1,0,1,1,0,0,0,1,65,1
P000020,Plastic Dental Floss,Personal Care,"Nylon, Plastic Container",Oral-B,2.51,4.0,27688,,1,1,1,0,0,0,0,0,0,0
P000021,Natural Rubber Gloves,Cleaning,Natural Rubber,Mapa,7.09,4.1,26458,,1,0,1,0,1,1,1,0,70,1
P000022,Bamboo Toilet Brush,Cleaning,"Bamboo Handle, Plant Fiber",Bamboozle,15.65,3.2,32925,Fsc Certified,1,0,1,0,1,1,0,0,70,1
P000023,Plastic Toilet Brush,Cleaning,"Polypropylene, Nylon",Oxo,10.17,3.5,3410,,0,1,0,0,0,0,0,0,0,0
P000024,Toothbrush Kids,Personal Care,Abs Plastic,Brush Baby,3.32,3.2,6535,,1,1,1,0,0,0,0,0,0,0
